category,why_it_fits,business_name,business_type,texas_metros,contact_approach,ad_pitch,estimated_monthly_budget,priority,outreach_status,contact_name,contact_email,notes,date_added
"Pediatric Therapy Clinics (OT, Speech, ABA)",Autism and behavior toolkit buyers are a direct match for therapy service ads,Austin ABA Therapy,Small firm,Austin,"Search Google for ""ABA therapy Austin"", find locally owned clinics, and email their marketing department.",Connect with Austin parents actively seeking ABA therapy services for their children with autism and related needs.,Medium,High,Not contacted,,,,2026-02-19
"Pediatric Therapy Clinics (OT, Speech, ABA)",Autism and behavior toolkit buyers are a direct match for therapy service ads,Sensory Kids Therapy,Solo practice,San Antonio,"Search Psychology Today for OTs in San Antonio specializing in sensory processing, and email them directly.",Promote your sensory-focused OT services to a targeted audience of San Antonio parents seeking solutions for their children's sensory processing challenges.,Low,Medium,Not contacted,,,,2026-02-19
"Pediatric Therapy Clinics (OT, Speech, ABA)",Autism and behavior toolkit buyers are a direct match for therapy service ads,Hopeful Beginnings ABA,Regional chain,"Houston, Austin, San Antonio","Search Google for ABA therapy clinics in major Texas cities, identify regional chains, and find their marketing contact.",Expand your reach across multiple Texas metros by advertising to parents actively researching special education and therapy options.,High,High,Not contacted,,,,2026-02-19
"Pediatric Therapy Clinics (OT, Speech, ABA)",Autism and behavior toolkit buyers are a direct match for therapy service ads,Speech Pathology Group of Texas,Small firm,Dallas-Fort Worth,"Search LinkedIn for speech-language pathologists in DFW, identify group practices, and message the owners.",Attract new clients to your speech therapy practice by targeting parents actively seeking support for their children's communication needs.,Medium,High,Not contacted,,,,2026-02-19
"Pediatric Therapy Clinics (OT, Speech, ABA)",Autism and behavior toolkit buyers are a direct match for therapy service ads,Occupational Therapy for Children - El Paso,Solo practice,El Paso,"Google search for ""Occupational Therapy El Paso Children"", find solo practices, and email the therapist directly.",Become the go-to OT resource for El Paso parents seeking specialized therapy for their children's developmental needs.,Low,Medium,Not contacted,,,,2026-02-19
"Pediatric Therapy Clinics (OT, Speech, ABA)",Autism and behavior toolkit buyers are a direct match for therapy service ads,Behavioral Innovations,National franchise,"Dallas-Fort Worth, Houston, Austin",Search for ABA therapy franchises in Texas and contact their corporate marketing department.,Drive franchise-wide brand awareness and generate leads for your ABA therapy centers across key Texas markets.,High,High,Not contacted,,,,2026-02-19
Educational Psychologists & Neuropsychologists,Evaluation guide readers are primed to seek private testing options,Dr. John Smith & Associates,Small firm,Dallas-Fort Worth,"Google search 'Educational Psychologist Dallas', check website for contact info",Reach parents actively seeking independent educational evaluations in the DFW area to grow your practice.,Medium,High,Not contacted,,,,2026-02-19
Educational Psychologists & Neuropsychologists,Evaluation guide readers are primed to seek private testing options,Houston Neuropsychology,Solo practice,Houston,"Google search 'Neuropsychologist Houston', check website for contact info",Connect with Houston parents researching neuropsychological testing options for their children's learning challenges.,Low,High,Not contacted,,,,2026-02-19
Educational Psychologists & Neuropsychologists,Evaluation guide readers are primed to seek private testing options,Austin Child Development Center,Small firm,Austin,"Google search 'Psychoeducational Assessment Austin', check website for contact info",Increase your visibility among Austin parents seeking psychoeducational assessments and IEEs for their children.,Medium,High,Not contacted,,,,2026-02-19
Educational Psychologists & Neuropsychologists,Evaluation guide readers are primed to seek private testing options,San Antonio Assessment Services,Solo practice,San Antonio,"Google search 'Educational Psychologist San Antonio', check website for contact info",Target San Antonio parents who are actively researching independent educational evaluations for their children's special education needs.,Low,High,Not contacted,,,,2026-02-19
Educational Psychologists & Neuropsychologists,Evaluation guide readers are primed to seek private testing options,Texas Neurobehavioral Institute,Regional chain,"Houston, Dallas-Fort Worth, Austin","Search Google for locations, contact through website form or phone.",Expand your reach across major Texas metros by connecting with parents seeking comprehensive neurobehavioral assessments.,High,High,Not contacted,,,,2026-02-19
Educational Psychologists & Neuropsychologists,Evaluation guide readers are primed to seek private testing options,Learning Assessment Group,Small firm,Dallas-Fort Worth,"LinkedIn search for educational psychologists in DFW, check company website",Attract more clients in the DFW area by showcasing your expertise in learning assessments to parents navigating special education.,Medium,High,Not contacted,,,,2026-02-19
Educational Psychologists & Neuropsychologists,Evaluation guide readers are primed to seek private testing options,Independent Educational Evaluation (IEE) providers in the Rio Grande Valley,Solo practice,"McAllen, Brownsville","Google search 'Educational Psychologist McAllen' or 'Educational Psychologist Brownsville', check website for contact info",Reach underserved parents in the Rio Grande Valley seeking independent educational evaluations for their children.,Low,Medium,Not contacted,,,,2026-02-19
Educational Psychologists & Neuropsychologists,Evaluation guide readers are primed to seek private testing options,Teletherapy providers offering remote psychoeducational assessments,Small firm,Statewide,"Google search 'Teletherapy psychoeducational assessment Texas', check website for contact info",Connect with Texas parents statewide seeking convenient teletherapy options for psychoeducational assessments.,Medium,Medium,Not contacted,,,,2026-02-19
